Date,Open,High,Low,Close,Volume,closeTime,QuoteVolume,Trades,TakerBuyBase,TakerBuyQuote,openTimeStamp,closeTimeStamp
2025-10-28 20:33:00+00:00,112432.71,112495.53,112324.82,112470.85,22.68459,2025-10-28 20:33:59.999000+00:00,2549442.8034745,7895,10.1895,1145151.9240658,1761683580000,1761683639999
2025-10-28 20:34:00+00:00,112470.85,112632.61,112470.85,112620.0,16.24675,2025-10-28 20:34:59.999000+00:00,1828708.9109173,4537,9.50324,1069581.9408832,1761683640000,1761683699999
2025-10-28 20:35:00+00:00,112619.99,112625.2,112564.17,112619.99,7.42719,2025-10-28 20:35:59.999000+00:00,836350.7367102,3302,2.48046,279296.1174444,1761683700000,1761683759999
2025-10-28 20:36:00+00:00,112619.99,112619.99,112485.41,112485.41,10.10913,2025-10-28 20:36:59.999000+00:00,1137952.8885177,5048,3.7687,424219.9321753,1761683760000,1761683819999
2025-10-28 20:37:00+00:00,112485.42,112551.77,112432.8,112529.75,7.86905,2025-10-28 20:37:59.999000+00:00,885314.8684053,5242,3.07492,345927.1816986,1761683820000,1761683879999
2025-10-28 20:38:00+00:00,112529.74,112616.9,112504.29,112616.9,5.94049,2025-10-28 20:38:59.999000+00:00,668509.1369895,3258,3.72312,418994.6372821,1761683880000,1761683939999
2025-10-28 20:39:00+00:00,112616.9,113057.65,112616.89,113014.13,81.03318,2025-10-28 20:39:59.999000+00:00,9145472.8822381,11340,67.76543,7647580.0431726,1761683940000,1761683999999
2025-10-28 20:40:00+00:00,113014.12,113057.65,112762.0,112786.93,58.30572,2025-10-28 20:40:59.999000+00:00,6583088.0102299,8688,30.87564,3486308.5785131,1761684000000,1761684059999
2025-10-28 20:41:00+00:00,112786.92,112899.02,112786.92,112838.12,13.6583,2025-10-28 20:41:59.999000+00:00,1541436.9098861,4132,10.26715,1158669.1190227,1761684060000,1761684119999
2025-10-28 20:42:00+00:00,112838.12,112838.12,112788.0,112825.77,11.34253,2025-10-28 20:42:59.999000+00:00,1279495.3840923,3551,5.47229,617321.4990862,1761684120000,1761684179999
2025-10-28 20:43:00+00:00,112825.77,112864.64,112802.81,112851.0,6.21822,2025-10-28 20:43:59.999000+00:00,701679.8605095,2641,3.48202,392920.6622068,1761684180000,1761684239999
2025-10-28 20:44:00+00:00,112851.01,112861.62,112745.0,112745.0,5.5605,2025-10-28 20:44:59.999000+00:00,627308.4537546,3904,1.41506,159660.1699163,1761684240000,1761684299999
2025-10-28 20:45:00+00:00,112745.0,112745.0,112650.0,112692.14,11.23441,2025-10-28 20:45:59.999000+00:00,1266037.9382854,5705,5.16493,582041.7500581,1761684300000,1761684359999
2025-10-28 20:46:00+00:00,112692.15,112692.15,112622.61,112667.37,7.89724,2025-10-28 20:46:59.999000+00:00,889655.9952655,3970,2.95595,333001.3400809,1761684360000,1761684419999
2025-10-28 20:47:00+00:00,112667.37,112681.72,112635.52,112663.77,5.01488,2025-10-28 20:47:59.999000+00:00,564940.4410639,3454,2.97177,334777.250236,1761684420000,1761684479999
2025-10-28 20:48:00+00:00,112663.78,112760.0,112648.5,112759.99,11.6634,2025-10-28 20:48:59.999000+00:00,1314390.6537934,2493,9.79914,1104270.2262865,1761684480000,1761684539999
2025-10-28 20:49:00+00:00,112759.99,112828.01,112746.39,112772.31,7.26258,2025-10-28 20:49:59.999000+00:00,819105.4891271,4028,5.09385,574505.1141807,1761684540000,1761684599999
2025-10-28 20:50:00+00:00,112772.32,112772.32,112710.1,112740.25,10.47867,2025-10-28 20:50:59.999000+00:00,1181419.7877152,4443,2.12417,239488.8044696,1761684600000,1761684659999
2025-10-28 20:51:00+00:00,112740.24,112740.24,112650.69,112650.69,9.20734,2025-10-28 20:51:59.999000+00:00,1037590.5737632,4942,3.32564,374758.8904988,1761684660000,1761684719999
2025-10-28 20:52:00+00:00,112650.7,112760.0,112635.0,112727.41,13.14692,2025-10-28 20:52:59.999000+00:00,1481842.9229228,3459,3.69302,416244.6408093,1761684720000,1761684779999
2025-10-28 20:53:00+00:00,112727.41,112798.06,112715.09,112775.56,6.84693,2025-10-28 20:53:59.999000+00:00,772009.6414262,2862,1.83622,207078.0951402,1761684780000,1761684839999
